freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
0.000,-126.5,-84.28
195.3E3,-83.27,-69.86
390.6E3,-113.2,-108.3
585.9E3,-86.71,-77.33
781.3E3,-112.2,-107.8
976.6E3,-85.74,-88.99
1.172E6,-110.6,-108.9
1.367E6,-81.96,-84.88
1.563E6,-110.2,-108.1
1.758E6,-85.76,-85.71
1.953E6,-107.1,-108.0
2.148E6,-77.53,-87.65
2.344E6,-101.1,-108.8
2.539E6,-5.993,-85.65
2.734E6,-103.8,-108.2
2.930E6,-83.58,-86.60
3.125E6,-112.8,-107.9
3.320E6,-79.90,-80.92
3.516E6,-119.2,-108.8
3.711E6,-81.07,-84.51
3.906E6,-120.9,-108.1
4.102E6,-84.47,-78.05
4.297E6,-124.7,-111.0
4.492E6,-84.97,-83.85
4.688E6,-122.7,-108.6
4.883E6,-87.76,-82.56
5.078E6,-118.7,-108.1
5.273E6,-80.21,-80.01
5.469E6,-123.3,-108.0
5.664E6,-87.96,-90.08
5.859E6,-122.2,-108.8
6.055E6,-91.41,-92.21
6.250E6,-124.1,-108.3
6.445E6,-78.13,-88.89
6.641E6,-121.8,-108.0
6.836E6,-83.13,-88.22
7.031E6,-122.0,-108.8
7.227E6,-86.63,-80.22
7.422E6,-120.6,-108.2
7.617E6,-67.23,-83.27
7.813E6,-120.1,-108.3
8.008E6,-80.94,-82.39
8.203E6,-119.4,-108.3
8.398E6,-78.13,-76.38
8.594E6,-118.6,-110.3
8.789E6,-86.37,-77.12
8.984E6,-117.5,-108.0
9.180E6,-83.29,-95.75
9.375E6,-119.1,-108.9
9.570E6,-81.58,-88.67
9.766E6,-119.0,-108.4
9.961E6,-89.67,-82.70
10.16E6,-112.4,-107.9
10.35E6,-85.01,-86.91
10.55E6,-118.9,-108.7
10.74E6,-88.06,-86.21
10.94E6,-118.2,-108.4
11.13E6,-77.18,-84.40
11.33E6,-117.0,-108.0
11.52E6,-85.29,-82.76
11.72E6,-117.3,-108.8
11.91E6,-80.35,-83.18
12.11E6,-117.9,-108.6
12.30E6,-84.30,-87.23
12.50E6,-117.7,-107.9
12.70E6,-80.02,-77.53
12.89E6,-118.2,-109.5
13.09E6,-93.96,-83.72
13.28E6,-117.3,-108.7
13.48E6,-77.70,-80.13
13.67E6,-118.2,-107.8
13.87E6,-87.79,-82.20
14.06E6,-117.0,-108.9
14.26E6,-82.29,-79.95
14.45E6,-116.9,-108.3
14.65E6,-87.64,-92.90
14.84E6,-116.5,-107.9
15.04E6,-79.94,-88.96
15.23E6,-110.9,-108.7
15.43E6,-84.14,-111.3
15.63E6,-117.1,-108.4
15.82E6,-98.47,-90.06
16.02E6,-117.2,-108.0
16.21E6,-79.47,-82.01
16.41E6,-117.0,-108.7
16.60E6,-82.93,-79.91
16.80E6,-116.6,-108.0
16.99E6,-75.78,-81.44
17.19E6,-116.8,-108.9
17.38E6,-82.42,-75.12
17.58E6,-115.2,-108.7
17.77E6,-84.07,-82.02
17.97E6,-116.0,-108.5
18.16E6,-82.23,-79.13
18.36E6,-117.4,-107.9
