freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
0.000,-109.3,-87.27
195.3E3,-79.40,-65.69
390.6E3,-111.5,-140.1
585.9E3,-93.61,-79.30
781.3E3,-112.5,-135.6
976.6E3,-97.57,-85.92
1.172E6,-111.4,-134.7
1.367E6,-79.63,-79.92
1.563E6,-110.5,-132.3
1.758E6,-85.87,-80.33
1.953E6,-109.0,-131.4
2.148E6,-82.53,-86.36
2.344E6,-106.7,-133.1
2.539E6,-5.941,-86.81
2.734E6,-114.9,-134.5
2.930E6,-84.72,-78.26
3.125E6,-120.9,-130.9
3.320E6,-78.14,-81.77
3.516E6,-121.0,-129.6
3.711E6,-90.44,-80.72
3.906E6,-120.0,-130.7
4.102E6,-84.82,-77.95
4.297E6,-117.5,-97.44
4.492E6,-83.13,-75.64
4.688E6,-118.5,-131.3
4.883E6,-83.73,-77.20
5.078E6,-108.7,-129.2
5.273E6,-84.98,-80.64
5.469E6,-118.2,-130.0
5.664E6,-86.73,-87.03
5.859E6,-117.5,-131.5
6.055E6,-86.82,-86.26
6.250E6,-117.7,-130.8
6.445E6,-82.62,-84.88
6.641E6,-117.2,-132.0
6.836E6,-83.83,-85.99
7.031E6,-116.8,-134.2
7.227E6,-88.70,-79.91
7.422E6,-116.4,-132.5
7.617E6,-83.69,-81.66
7.813E6,-116.2,-136.2
8.008E6,-86.14,-83.00
8.203E6,-116.7,-129.5
8.398E6,-79.80,-75.71
8.594E6,-116.2,-110.8
8.789E6,-83.00,-76.41
8.984E6,-116.6,-130.6
9.180E6,-78.99,-89.73
9.375E6,-116.5,-134.4
9.570E6,-87.08,-79.83
9.766E6,-117.4,-132.6
