freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 113  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 213  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 313  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 413  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 513  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 613  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 713  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 813  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 913  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
0.000,-143.1,-101.3,-101.9,-103.6,-104.5,-103.6,-102.1,-100.3,-97.52,-95.42,-90.23
195.3E3,-81.59,-90.95,-86.04,-77.08,-82.69,-78.69,-86.53,-81.16,-85.25,-82.45,-67.48
390.6E3,-108.6,-114.3,-119.1,-127.2,-132.5,-135.1,-129.4,-129.0,-128.9,-129.5,-141.6
585.9E3,-85.63,-78.63,-86.90,-80.09,-86.34,-84.25,-78.20,-88.90,-85.54,-93.27,-78.94
781.3E3,-107.5,-114.3,-119.3,-124.4,-137.7,-107.9,-131.8,-126.8,-128.7,-131.7,-139.6
976.6E3,-92.53,-84.74,-89.71,-87.83,-79.42,-99.68,-83.01,-87.69,-83.10,-87.83,-91.68
1.172E6,-106.3,-114.7,-119.1,-126.0,-134.9,-135.9,-133.7,-128.4,-128.4,-126.8,-149.3
1.367E6,-80.58,-83.29,-102.0,-82.53,-78.89,-91.27,-85.23,-85.36,-84.67,-91.81,-80.65
1.563E6,-104.7,-114.4,-119.0,-125.9,-132.0,-125.5,-133.9,-128.5,-128.5,-128.3,-144.1
1.758E6,-85.18,-81.70,-83.06,-91.18,-81.15,-94.04,-83.15,-89.56,-91.44,-84.82,-85.40
1.953E6,-101.3,-114.4,-119.2,-125.5,-138.2,-143.2,-130.9,-127.1,-127.7,-128.8,-159.7
2.148E6,-76.85,-80.75,-83.95,-77.51,-84.48,-86.39,-82.90,-82.34,-74.87,-87.34,-85.69
2.344E6,-91.93,-114.2,-119.3,-124.9,-129.2,-143.3,-129.7,-130.5,-126.0,-125.4,-146.8
2.539E6,-5.968,-96.37,-91.93,-89.87,-79.52,-78.31,-81.86,-95.91,-87.61,-84.20,-87.25
2.734E6,-93.01,-113.3,-119.2,-124.3,-128.4,-140.6,-112.3,-125.8,-129.4,-128.3,-140.0
2.930E6,-87.62,-93.28,-82.19,-86.63,-85.53,-78.26,-79.75,-82.77,-92.52,-81.74,-81.35
3.125E6,-104.8,-114.7,-119.3,-123.4,-122.6,-128.1,-136.3,-128.6,-130.8,-123.7,-147.5
3.320E6,-79.92,-88.96,-89.82,-85.18,-65.15,-90.29,-87.55,-82.27,-88.23,-82.40,-82.13
3.516E6,-110.1,-114.4,-118.3,-123.8,-128.6,-138.9,-132.1,-126.3,-129.7,-128.5,-141.8
3.711E6,-81.47,-78.11,-87.13,-98.13,-86.31,-89.24,-81.19,-75.66,-78.15,-78.98,-81.92
3.906E6,-113.9,-114.6,-119.3,-126.2,-143.9,-127.2,-132.9,-127.4,-129.0,-128.0,-146.9
4.102E6,-87.93,-84.96,-81.90,-82.37,-82.57,-83.17,-89.31,-85.70,-100.6,-86.15,-78.61
4.297E6,-117.2,-114.6,-119.0,-123.3,-142.1,-140.2,-132.3,-126.5,-129.9,-126.9,-103.1
4.492E6,-83.12,-91.16,-92.01,-89.01,-91.86,-86.60,-80.52,-89.16,-94.82,-79.70,-77.96
4.688E6,-120.5,-114.3,-119.0,-125.0,-133.9,-136.5,-132.6,-127.1,-134.9,-132.0,-140.0
4.883E6,-92.40,-86.74,-80.36,-83.70,-82.60,-84.39,-78.56,-80.77,-88.49,-65.55,-78.19
5.078E6,-111.6,-114.8,-119.0,-125.2,-136.3,-140.7,-134.1,-127.7,-128.7,-127.1,-137.1
5.273E6,-81.25,-87.10,-81.12,-79.92,-101.7,-93.67,-94.43,-82.72,-79.71,-79.85,-79.91
5.469E6,-122.6,-113.8,-118.9,-124.8,-136.9,-122.9,-117.6,-126.8,-129.4,-128.5,-148.8
5.664E6,-87.47,-90.28,-92.21,-77.28,-82.49,-77.95,-91.61,-84.03,-103.1,-87.86,-81.48
5.859E6,-121.0,-114.3,-118.8,-125.4,-137.6,-139.0,-130.4,-123.1,-134.0,-127.1,-145.2
6.055E6,-89.82,-88.04,-80.53,-83.90,-83.80,-101.9,-87.70,-89.36,-71.23,-81.80,-84.57
6.250E6,-121.4,-114.4,-119.9,-125.5,-131.5,-121.9,-134.9,-126.9,-120.5,-129.3,-148.2
6.445E6,-79.67,-77.00,-78.66,-86.07,-92.52,-83.94,-99.98,-85.52,-81.96,-96.88,-84.52
6.641E6,-121.7,-114.6,-119.7,-125.6,-116.4,-135.1,-131.4,-127.7,-125.3,-127.9,-140.0
6.836E6,-81.22,-89.89,-86.29,-85.00,-88.96,-77.23,-87.43,-85.82,-77.30,-78.59,-86.30
7.031E6,-120.5,-114.9,-118.5,-124.2,-135.0,-125.0,-131.5,-126.9,-126.3,-127.4,-144.9
7.227E6,-89.45,-78.96,-86.76,-80.23,-84.29,-87.14,-83.57,-91.91,-93.15,-81.02,-79.97
7.422E6,-120.8,-114.5,-118.5,-128.0,-139.9,-136.7,-133.8,-127.5,-125.4,-126.5,-147.5
7.617E6,-74.68,-87.23,-76.05,-91.34,-85.10,-81.48,-87.97,-86.20,-86.07,-91.31,-83.64
7.813E6,-121.0,-114.6,-119.1,-125.7,-133.8,-133.8,-135.3,-127.7,-129.6,-126.1,-144.8
8.008E6,-79.53,-78.72,-98.88,-85.88,-82.16,-91.71,-78.21,-81.78,-85.66,-82.60,-84.07
8.203E6,-120.1,-115.1,-118.9,-125.2,-135.9,-138.5,-120.9,-127.0,-126.8,-126.7,-139.4
8.398E6,-78.73,-81.48,-85.19,-79.67,-84.52,-102.2,-92.12,-94.40,-80.51,-77.17,-75.87
8.594E6,-120.1,-114.6,-118.9,-124.6,-139.2,-137.4,-140.3,-125.3,-127.8,-127.3,-125.7
8.789E6,-85.17,-90.60,-94.03,-83.94,-85.97,-80.64,-82.15,-83.34,-82.58,-79.44,-77.38
8.984E6,-119.2,-114.5,-118.8,-126.9,-135.5,-137.7,-133.8,-125.6,-129.3,-129.2,-146.7
9.180E6,-81.14,-82.50,-88.69,-91.93,-81.96,-77.79,-83.20,-87.72,-92.64,-83.57,-88.72
9.375E6,-120.1,-114.8,-119.1,-124.8,-138.1,-129.0,-131.5,-126.6,-127.1,-128.2,-143.2
9.570E6,-82.85,-89.02,-74.60,-81.94,-80.65,-84.06,-87.65,-88.74,-91.81,-81.56,-82.16
9.766E6,-119.0,-114.6,-117.1,-125.0,-153.8,-138.0,-133.9,-127.3,-127.9,-130.0,-148.5
9.961E6,-89.40,-74.61,-90.48,-101.6,-65.81,-75.19,-82.22,-77.39,-73.37,-81.60,-85.20
10.16E6,-116.2,-114.5,-118.9,-125.3,-130.1,-129.9,-132.4,-126.8,-127.7,-128.0,-139.6
10.35E6,-84.09,-77.96,-91.26,-82.82,-86.57,-79.58,-81.18,-85.48,-94.57,-80.35,-85.43
